Account_ID,Customer_Age,Annual_Income_USD,Credit_Score,Offer_Type,Discount_Percent,Credit_Limit_USD,Avg_Monthly_Spend_USD,Campaign_Cost_USD,Profit_Margin_Percent,Campaign_Channel,Region,Customer_Segment,Accepted_Offer,Retained_6_Months,Campaign_Date
ACC1000000,59,58492.97,730,Premium Lifestyle,28.39,30245.66,3176.25,24.0,21.07,Email,North America,HNI,1,1,2024-10-26
ACC1000001,23,60915.77,732,Travel Rewards,10.45,9986.82,2199.27,83.47,20.12,SMS,Europe,Mass Market,1,1,2024-07-12
ACC1000002,62,67468.68,690,Premium Lifestyle,23.55,19740.64,6884.29,75.35,35.1,Branch,North America,SME,1,1,2025-09-14
ACC1000003,38,56992.38,756,Low Interest,7.93,34527.42,3137.05,27.09,22.33,Email,North America,Mass Market,1,0,2026-04-25
ACC1000004,56,91983.38,657,Travel Rewards,17.75,11189.14,4017.13,14.38,34.48,SMS,Middle East,SME,1,1,2024-07-30
ACC1000005,56,97154.0,710,Cashback,7.65,10603.16,412.07,55.55,18.6,Branch,Europe,SME,0,1,2024-08-31
ACC1000006,46,77892.49,725,Low Interest,13.28,15517.4,1240.34,12.19,19.82,SMS,Latin America,SME,1,1,2025-08-07
ACC1000007,31,94089.15,645,Dining Rewards,28.71,30692.04,6491.48,101.15,37.02,Email,Europe,Student,1,1,2024-07-25
ACC1000008,53,69668.04,675,Dining Rewards,14.76,36750.7,4499.15,134.21,21.53,Social Media,Europe,Affluent,1,1,2025-08-01
ACC1000009,21,46987.11,747,Dining Rewards,12.68,2981.25,5003.57,25.52,20.38,Email,North America,Student,1,0,2026-04-03
ACC1000010,69,77752.82,580,Cashback,32.23,13215.32,2931.64,115.78,13.01,Social Media,Asia Pacific,SME,1,1,2024-06-19
ACC1000011,42,83791.78,753,Dining Rewards,13.87,6169.22,3250.09,40.58,19.58,Email,Latin America,SME,0,0,2024-06-19
ACC1000012,48,96722.5,684,Cashback,13.16,32736.82,103.59,59.36,15.67,Phone Call,North America,SME,0,0,2024-07-07
ACC1000013,57,42112.03,754,Dining Rewards,12.32,9246.26,1609.47,88.13,19.13,Branch,Asia Pacific,SME,1,1,2025-12-19
ACC1000014,32,74443.48,599,Travel Rewards,14.03,14957.18,354.52,95.34,22.59,Email,North America,Affluent,0,0,2025-06-19
ACC1000015,53,118005.46,763,Dining Rewards,20.93,22941.38,3914.96,92.98,7.83,Email,Europe,Mass Market,1,1,2024-10-20
ACC1000016,58,117083.83,615,Low Interest,24.01,27252.96,723.0,126.94,16.23,Social Media,Latin America,HNI,0,0,2024-10-15
ACC1000017,40,42097.43,659,Travel Rewards,26.33,40665.55,2505.8,23.46,37.92,Social Media,Asia Pacific,Affluent,1,1,2025-04-19
ACC1000018,60,63352.07,646,Premium Lifestyle,8.4,46309.99,6153.64,46.11,28.1,Social Media,North America,SME,1,1,2025-01-20
ACC1000019,69,65265.27,687,Premium Lifestyle,31.92,45120.48,4468.4,57.46,17.22,SMS,Middle East,Affluent,1,1,2025-01-14
ACC1000020,44,102620.0,686,Travel Rewards,30.53,46846.11,5518.85,103.66,25.32,Phone Call,Latin America,HNI,1,1,2025-12-12
ACC1000021,45,130973.24,728,Premium Lifestyle,24.56,11989.2,5014.04,43.21,16.39,Branch,Europe,HNI,1,1,2026-03-29
ACC1000022,27,46203.16,766,Cashback,21.28,25931.89,4490.7,45.06,25.65,SMS,North America,HNI,0,1,2025-06-14
ACC1000023,28,111281.46,732,Low Interest,20.08,29268.29,3498.37,37.33,30.29,Social Media,North America,Affluent,1,1,2026-04-26
ACC1000024,69,21502.47,685,Balance Transfer,31.5,37638.22,6676.2,56.31,24.35,Social Media,Europe,Student,1,0,2025-08-22
ACC1000025,41,56718.8,651,Low Interest,19.56,19261.66,2823.37,128.19,37.55,Phone Call,Europe,HNI,1,1,2025-02-21
ACC1000026,67,106722.71,703,Travel Rewards,27.22,35153.77,4947.14,60.33,15.28,SMS,Middle East,SME,1,1,2024-12-04
ACC1000027,45,53011.47,711,Dining Rewards,5.16,31766.83,1440.49,19.93,18.89,Branch,Latin America,SME,0,1,2025-10-21
ACC1000028,35,51815.24,685,Low Interest,22.35,2761.17,3312.63,85.97,15.03,Social Media,Europe,Affluent,1,1,2025-08-25
ACC1000029,62,60842.04,765,Balance Transfer,8.81,26589.92,5412.96,40.21,26.8,Phone Call,North America,Mass Market,1,1,2025-09-22
ACC1000030,50,139318.32,738,Cashback,26.78,48816.75,3662.47,55.21,32.83,SMS,Europe,Student,1,1,2025-11-15
ACC1000031,46,90149.62,751,Balance Transfer,17.27,9491.42,1179.42,45.03,24.22,Email,Latin America,Student,0,1,2024-12-15
